,case_id,sanctioning_state,sanctioned_state,begin,end,trade,arms,military,financial,travel,other,trade_obj,arms_obj,military_obj,financial_obj,travel_obj,other_obj,trade_suc,arms_suc,military_suc,financial_suc,travel_suc,other_suc,objective,success
16,17,Egypt,Israel,1950,1957,1,0,0,0,0,1,prevent_war,NA,NA,NA,NA,prevent_war,failed,NA,NA,NA,NA,failed,prevent_war,failed
17,18,Arab Rep.,Israel,1950,1957,1,0,0,0,0,1,prevent_war,NA,NA,NA,NA,prevent_war,failed,NA,NA,NA,NA,failed,prevent_war,failed
18,19,France,Israel,1950,1955,0,1,0,0,0,0,NA,prevent_war,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,prevent_war,failed
19,20,League of Arab States,Israel,1950,2022,1,0,0,0,0,0,territorial_conflict,NA,NA,NA,NA,NA,ongoing,NA,NA,NA,NA,NA,territorial_conflict,ongoing
20,21,United States,Korea,1950,1954,1,0,0,1,0,0,end_war,NA,NA,end_war,NA,NA,success_total,NA,NA,success_total,NA,NA,end_war,success_total
21,22,United States,North,1950,1954,1,0,0,1,0,0,end_war,NA,NA,end_war,NA,NA,success_total,NA,NA,success_total,NA,NA,end_war,success_total
22,23,League of Arab States,Palestine,1950,1994,1,0,0,0,0,0,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,territorial_conflict,failed
23,24,United States,Taiwan,1950,1953,0,0,0,0,0,1,NA,NA,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,success_total,prevent_war,success_total
24,25,Soviet Union,Yugoslavia,1950,1955,1,0,0,0,0,0,policy_change,NA,NA,NA,NA,NA,success_part,NA,NA,NA,NA,NA,policy_change,success_part
25,26,Hong Kong,China,1951,1954,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
26,27,UN,China,1951,1953,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,"end_war,destab_regime","success_total,failed"
27,28,United States,China,1951,1979,0,0,0,1,0,0,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,success_part,NA,NA,destab_regime,success_part
28,29,United Kingdom,Egypt,1951,1954,0,1,0,0,0,0,NA,prevent_war,NA,NA,NA,NA,NA,success_part,NA,NA,NA,NA,prevent_war,success_part
29,30,United Kingdom,Arab Rep.,1951,1954,0,1,0,0,0,0,NA,prevent_war,NA,NA,NA,NA,NA,success_part,NA,NA,NA,NA,prevent_war,success_part
30,31,United States,Hungary,1951,1973,0,0,0,1,1,1,NA,NA,NA,human_rights,human_rights,human_rights,NA,NA,NA,nego_settlement,nego_settlement,nego_settlement,human_rights,nego_settlement
31,32,UN,Korea,1951,2022,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,ongoing,NA,NA,NA,NA,end_war,ongoing
32,33,UN,North,1951,2022,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,ongoing,NA,NA,NA,NA,end_war,ongoing
33,34,United States,Switzerland,1951,1951,1,0,0,0,0,0,policy_change,NA,NA,NA,NA,NA,nego_settlement,NA,NA,NA,NA,NA,policy_change,nego_settlement
34,35,ChinCom,China,1952,1958,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
35,36,Japan,China,1952,1954,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
36,37,United States,Egypt,1952,1952,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,policy_change,failed
37,38,United States,Arab Rep.,1952,1952,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,policy_change,failed
38,39,Soviet Union,Australia,1954,1959,1,0,0,0,1,1,other,NA,NA,NA,other,other,failed,NA,NA,NA,failed,failed,other,failed
39,40,United States,German Democratic Republic,1954,1974,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,territorial_conflict,success_total
40,41,Spain,Gibraltar,1954,1984,0,0,0,0,1,0,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,nego_settlement,NA,territorial_conflict,nego_settlement
41,42,United States,Guatemala,1954,1954,0,1,0,0,0,0,NA,human_rights,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,"human_rights,democracy","success_total,success_total"
42,43,South Vietnam,North Vietnam,1954,1976,1,0,0,0,1,0,territorial_conflict,NA,NA,NA,territorial_conflict,NA,failed,NA,NA,NA,failed,NA,territorial_conflict,failed
43,44,United States,North Vietnam,1954,1964,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
44,45,India,Portugal,1954,1959,0,0,0,0,1,0,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,territorial_conflict,failed
45,46,India,Portugal,1954,1975,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,"territorial_conflict,democracy","success_total,success_total"
46,47,India,Portugal,1954,1954,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,territorial_conflict,failed
47,48,India,Portugal,1954,1961,0,0,0,1,0,0,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,NA,NA,territorial_conflict,success_total
48,49,United States,Korea,1955,2008,1,0,0,1,0,0,prevent_war,NA,NA,prevent_war,NA,NA,failed,NA,NA,failed,NA,NA,prevent_war,failed
49,50,United States,North,1955,2008,1,0,0,1,0,0,prevent_war,NA,NA,prevent_war,NA,NA,failed,NA,NA,failed,NA,NA,prevent_war,failed
50,51,India,Portugal,1955,1961,1,0,0,0,0,1,territorial_conflict,NA,NA,NA,NA,territorial_conflict,success_total,NA,NA,NA,NA,success_total,territorial_conflict,success_total
51,52,United States,Egypt,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
52,53,United Kingdom,Egypt,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
53,54,France,Egypt,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
54,55,United States,Arab Rep.,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
55,56,United Kingdom,Arab Rep.,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
56,57,France,Arab Rep.,1956,1957,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,nego_settlement,NA,NA,prevent_war,nego_settlement
57,58,United States,Israel,1956,1983,0,1,1,1,0,0,NA,end_war,end_war,end_war,NA,NA,NA,failed,failed,failed,NA,NA,end_war,failed
58,59,Indonesia,Netherlands,1957,1963,1,0,0,1,1,0,territorial_conflict,NA,NA,territorial_conflict,territorial_conflict,NA,success_total,NA,NA,success_total,success_total,NA,territorial_conflict,success_total
59,60,United States,Romania,1957,1960,1,0,0,0,0,1,policy_change,NA,NA,NA,NA,human_rights,nego_settlement,NA,NA,NA,NA,nego_settlement,"policy_change,human_rights","nego_settlement,nego_settlement"
60,61,Egypt,Transjordan,1957,1958,1,0,0,1,0,0,policy_change,NA,NA,policy_change,NA,NA,failed,NA,NA,failed,NA,NA,policy_change,failed
61,62,Arab Rep.,Transjordan,1957,1958,1,0,0,1,0,0,policy_change,NA,NA,policy_change,NA,NA,failed,NA,NA,failed,NA,NA,policy_change,failed
62,63,Syria,Transjordan,1957,1958,1,0,0,1,0,0,policy_change,NA,NA,policy_change,NA,NA,failed,NA,NA,failed,NA,NA,policy_change,failed
63,64,France,Tunisia,1957,1963,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,policy_change,failed
64,65,Germany,Yugoslavia,1957,1968,0,0,0,0,0,1,NA,NA,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_part,policy_change,success_part
65,66,United States,Cuba,1958,2022,0,1,0,0,0,0,NA,destab_regime,NA,NA,NA,NA,NA,ongoing,NA,NA,NA,NA,destab_regime,ongoing
66,67,Soviet Union,Finland,1958,1959,1,0,0,0,0,1,destab_regime,NA,NA,NA,NA,destab_regime,success_total,NA,NA,NA,NA,success_total,destab_regime,success_total
67,68,United States,Laos,1958,1958,0,0,0,1,0,0,NA,NA,NA,other,NA,NA,NA,NA,NA,success_total,NA,NA,other,success_total
68,69,Soviet Union,Yugoslavia,1958,1960,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,policy_change,failed
69,70,Egypt,Israel,1959,1979,1,0,0,0,0,1,territorial_conflict,NA,NA,NA,NA,territorial_conflict,nego_settlement,NA,NA,NA,NA,nego_settlement,territorial_conflict,nego_settlement
70,71,Arab Rep.,Israel,1959,1979,1,0,0,0,0,1,territorial_conflict,NA,NA,NA,NA,territorial_conflict,nego_settlement,NA,NA,NA,NA,nego_settlement,territorial_conflict,nego_settlement
71,72,Soviet Union,Albania,1960,1960,1,0,0,0,0,0,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,policy_change,failed
72,73,Soviet Union,China,1960,1970,1,0,1,1,0,0,destab_regime,NA,territorial_conflict,territorial_conflict,NA,NA,success_part,NA,nego_settlement,nego_settlement,NA,NA,"destab_regime,territorial_conflict","success_part,nego_settlement"
73,74,United States,Congo,1960,1963,0,0,1,0,0,0,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,NA,NA,NA,territorial_conflict,success_total
74,75,United States,Democratic Republic of the,1960,1963,0,0,1,0,0,0,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,NA,NA,NA,territorial_conflict,success_total
75,76,United States,Cuba,1960,1964,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
76,77,Organization of American States,Dominican Republic,1960,1961,1,1,0,0,0,1,destab_regime,destab_regime,NA,NA,NA,destab_regime,success_total,success_total,NA,NA,NA,success_total,destab_regime,success_total
77,78,United States,Dominican Republic,1960,1961,1,0,1,0,0,0,destab_regime,NA,destab_regime,NA,NA,NA,success_total,NA,success_total,NA,NA,NA,destab_regime,success_total
78,79,United States,Laos,1960,1960,0,0,1,0,0,0,NA,NA,end_war,NA,NA,NA,NA,NA,failed,NA,NA,NA,end_war,failed
79,80,Indonesia,Netherlands,1960,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,territorial_conflict,success_total
80,81,Soviet Union,Albania,1961,1965,1,0,0,1,1,1,policy_change,NA,NA,policy_change,policy_change,policy_change,failed,NA,NA,failed,failed,failed,policy_change,failed
81,82,United States,Cuba,1961,2015,0,0,0,1,1,0,NA,NA,NA,destab_regime,destab_regime,NA,NA,NA,NA,failed,failed,NA,destab_regime,failed
82,83,Germany,German Democratic Republic,1961,1989,0,0,0,0,1,0,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,NA,territorial_conflict,success_total
83,84,United States,Korea,1961,1961,0,0,0,1,0,0,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,NA,NA,"democracy,human_rights","success_total,success_total"
84,85,United States,South,1961,1961,0,0,0,1,0,0,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,NA,NA,"democracy,human_rights","success_total,success_total"
85,86,Afghanistan,Pakistan,1961,1963,0,0,0,0,1,1,NA,NA,NA,NA,territorial_conflict,territorial_conflict,NA,NA,NA,NA,nego_settlement,nego_settlement,territorial_conflict,nego_settlement
86,87,United States,Poland,1961,1991,0,1,0,0,0,0,NA,destab_regime,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,destab_regime,success_total
87,88,United States,Hungary,1961,1991,0,1,0,0,0,0,NA,destab_regime,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,destab_regime,success_total
88,89,United States,Czechoslovakia,1961,1991,0,1,0,0,0,0,NA,destab_regime,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,destab_regime,success_total
89,90,United States,Algeria,1962,1962,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,"policy_change,destab_regime","failed,failed"
90,91,United States,Brazil,1962,1964,0,0,1,1,0,0,NA,NA,destab_regime,destab_regime,NA,NA,NA,NA,success_total,success_total,NA,NA,destab_regime,success_total
91,92,Organization of American States,Cuba,1962,2015,0,0,0,0,0,1,NA,NA,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,nego_settlement,destab_regime,nego_settlement
92,93,United States,Cuba,1962,2022,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,ongoing,NA,NA,NA,NA,NA,destab_regime,ongoing
93,94,United States,Cuba,1962,2015,0,0,0,1,0,0,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,destab_regime,failed
94,95,United States,Haiti,1962,1964,0,0,0,1,0,0,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,destab_regime,failed
95,96,United States,Laos,1962,1962,0,0,0,1,0,0,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,success_total,NA,NA,destab_regime,success_total
96,97,India,Nepal,1962,1965,1,1,0,0,0,0,destab_regime,destab_regime,NA,NA,NA,NA,failed,failed,NA,NA,NA,NA,destab_regime,failed
97,98,United States,Peru,1962,1962,0,0,1,1,0,1,NA,NA,destab_regime,destab_regime,NA,destab_regime,NA,NA,failed,failed,NA,failed,destab_regime,failed
98,99,Venezuela,Peru,1962,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,"democracy,human_rights","success_total,success_total"
99,100,Colombia,Peru,1962,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,"democracy,human_rights","success_total,success_total"
100,101,Costa Rica,Peru,1962,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,"democracy,human_rights","success_total,success_total"
101,102,Dominican Republic,Peru,1962,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,democracy,NA,NA,NA,NA,NA,success_total,"democracy,human_rights","success_total,success_total"
102,103,Soviet Union,Romania,1962,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,policy_change,failed
103,104,NATO,Soviet Union,1962,1966,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,prevent_war,failed
104,105,United States,Ceylon,1963,1965,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,policy_change,success_total
105,106,Germany,Cuba,1963,1969,0,0,0,0,0,1,NA,NA,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,failed,policy_change,failed
106,107,United States,Cuba,1963,1977,0,0,0,1,1,0,NA,NA,NA,destab_regime,destab_regime,NA,NA,NA,NA,failed,failed,NA,destab_regime,failed
107,108,United States,Dominican Republic,1963,1963,0,0,1,1,0,1,NA,NA,destab_regime,destab_regime,NA,destab_regime,NA,NA,failed,failed,NA,failed,destab_regime,failed
108,109,Venezuela,Dominican Republic,1963,1963,0,0,0,0,0,1,NA,NA,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,success_total,destab_regime,success_total
109,110,United States,Egypt,1963,1964,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,failed,NA,NA,prevent_war,failed
110,111,United States,Arab Rep.,1963,1964,0,0,0,1,0,0,NA,NA,NA,prevent_war,NA,NA,NA,NA,NA,failed,NA,NA,prevent_war,failed
111,112,Malaya,Indonesia,1963,1967,1,0,0,0,0,1,territorial_conflict,NA,NA,NA,NA,territorial_conflict,success_total,NA,NA,NA,NA,success_total,territorial_conflict,success_total
112,113,United States,Indonesia,1963,1966,0,0,1,1,0,0,NA,NA,prevent_war,prevent_war,NA,NA,NA,NA,success_total,success_total,NA,NA,prevent_war,success_total
113,114,Indonesia,Malaya,1963,1966,1,0,0,0,0,0,territorial_conflict,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,territorial_conflict,success_total
114,115,Malaya,Philippines,1963,1964,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,territorial_conflict,failed
115,116,Organisation of African Unity,Portugal,1963,1974,1,0,0,0,0,1,territorial_conflict,NA,NA,NA,NA,territorial_conflict,success_total,NA,NA,NA,NA,success_total,territorial_conflict,success_total
116,117,Indonesia,Singapore,1963,1966,1,0,0,0,0,1,destab_regime,NA,NA,NA,NA,destab_regime,failed,NA,NA,NA,NA,failed,destab_regime,failed
117,118,Switzerland,South Africa,1963,1994,1,1,0,0,0,0,policy_change,policy_change,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,policy_change,success_total
118,119,UN,South Africa,1963,1977,0,1,0,0,0,0,NA,policy_change,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,policy_change,failed
119,120,United States,South Africa,1963,1998,0,1,0,0,0,0,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,policy_change,success_total
120,121,United States,South Vietnam,1963,1963,0,0,1,1,0,0,NA,NA,human_rights,human_rights,NA,NA,NA,NA,success_total,success_total,NA,NA,human_rights,success_total
121,122,Organization of American States,Cuba,1964,1975,1,0,0,0,1,1,destab_regime,NA,NA,NA,destab_regime,destab_regime,failed,NA,NA,NA,failed,failed,destab_regime,failed
122,123,United States,Egypt,1964,1965,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,"policy_change,end_war,other","success_total,success_part,success_part"
123,124,United States,Arab Rep.,1964,1965,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,"policy_change,end_war,other","success_total,success_part,success_part"
124,125,Spain,Gibraltar,1964,1984,1,0,0,0,0,0,territorial_conflict,NA,NA,NA,NA,NA,nego_settlement,NA,NA,NA,NA,NA,territorial_conflict,nego_settlement
125,126,United States,Indonesia,1964,1966,0,1,0,0,0,0,NA,human_rights,NA,NA,NA,NA,NA,success_part,NA,NA,NA,NA,"human_rights,democracy","success_part,success_part"
126,127,United States,North Vietnam,1964,1975,1,0,0,1,0,0,destab_regime,NA,NA,destab_regime,NA,NA,failed,NA,NA,failed,NA,NA,destab_regime,failed
127,128,India,South Africa,1964,1993,1,0,0,0,0,1,policy_change,NA,NA,NA,NA,policy_change,success_total,NA,NA,NA,NA,success_total,policy_change,success_total
128,129,Japan,South Africa,1964,1994,0,0,0,1,0,0,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,policy_change,success_total
129,130,United Kingdom,South Africa,1964,1994,0,1,0,0,0,0,NA,policy_change,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,policy_change,success_total
130,131,France,Tunisia,1964,1966,1,0,0,1,0,0,other,NA,NA,other,NA,NA,nego_settlement,NA,NA,nego_settlement,NA,NA,other,nego_settlement
131,132,France,Algeria,1965,1971,1,0,0,1,0,0,other,NA,NA,other,NA,NA,nego_settlement,NA,NA,nego_settlement,NA,NA,other,nego_settlement
132,133,Germany,Egypt,1965,1972,0,1,0,1,0,0,NA,prevent_war,NA,prevent_war,NA,NA,NA,failed,NA,failed,NA,NA,prevent_war,failed
133,134,Germany,Arab Rep.,1965,1972,0,1,0,1,0,0,NA,prevent_war,NA,prevent_war,NA,NA,NA,failed,NA,failed,NA,NA,prevent_war,failed
134,135,League of Arab States,Germany,1965,1979,0,0,0,0,0,1,NA,NA,NA,NA,NA,policy_change,NA,NA,NA,NA,NA,success_part,policy_change,success_part
135,136,Spain,Gibraltar,1965,1984,1,0,0,0,0,0,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,"territorial_conflict,policy_change","failed,failed"
136,137,United Kingdom,India,1965,1967,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_part,NA,NA,NA,NA,end_war,success_part
137,138,United States,India,1965,1967,0,0,1,1,0,0,NA,NA,end_war,end_war,NA,NA,NA,NA,success_total,success_total,NA,NA,end_war,success_total
138,139,United States,India,1965,1966,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,end_war,success_total
139,140,United Kingdom,India,1965,1966,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,end_war,success_total
140,141,United States,Pakistan,1965,1966,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,end_war,success_total
141,142,United Kingdom,Pakistan,1965,1966,0,1,0,0,0,0,NA,end_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,end_war,success_total
142,143,UN,Pakistan,1965,1975,0,1,0,0,0,0,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
143,144,UN,India,1965,1975,0,1,0,0,0,0,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
144,145,United Kingdom,Pakistan,1965,1975,0,1,1,0,0,0,NA,territorial_conflict,end_war,NA,NA,NA,NA,failed,failed,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
145,146,United Kingdom,India,1965,1975,0,1,1,0,0,0,NA,territorial_conflict,end_war,NA,NA,NA,NA,failed,failed,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
146,147,United States,Pakistan,1965,1975,0,1,1,0,0,0,NA,territorial_conflict,end_war,NA,NA,NA,NA,failed,failed,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
147,148,United States,India,1965,1975,0,1,1,0,0,0,NA,territorial_conflict,end_war,NA,NA,NA,NA,failed,failed,NA,NA,NA,"territorial_conflict,end_war","failed,failed"
148,149,United Kingdom,Rhodesia,1965,1966,1,0,0,1,0,0,territorial_conflict,NA,NA,territorial_conflict,NA,NA,nego_settlement,NA,NA,nego_settlement,NA,NA,territorial_conflict,nego_settlement
149,150,Spain,Gibraltar,1966,1984,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,nego_settlement,territorial_conflict,nego_settlement
150,151,UN,Portugal,1966,1974,1,1,0,0,0,0,policy_change,policy_change,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,policy_change,success_total
151,152,Denmark,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
152,153,Norway,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
153,154,Canada,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
154,155,Australia,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
155,156,Switzerland,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
156,157,Germany,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
157,158,UN,Rhodesia,1966,1979,1,1,0,0,0,0,democracy,democracy,NA,NA,NA,NA,success_total,success_total,NA,NA,NA,NA,democracy,success_total
158,159,United Kingdom,Rhodesia,1966,1979,1,0,0,1,0,1,territorial_conflict,NA,NA,territorial_conflict,NA,territorial_conflict,nego_settlement,NA,NA,nego_settlement,NA,nego_settlement,territorial_conflict,nego_settlement
159,160,Spain,United Kingdom,1966,1984,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,territorial_conflict,failed
160,161,France,Egypt,1967,1974,0,1,0,0,0,0,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,territorial_conflict,failed
161,162,France,Arab Rep.,1967,1974,0,1,0,0,0,0,NA,territorial_conflict,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,territorial_conflict,failed
